value	label
A	A
AA	AA
AAN	AAN
AAP	AAP
AAT	AAT
AB	AB
ABB	ABB
ABBV	ABBV
ABC	ABC
ABEV	ABEV
ABG	ABG
ABM	ABM
ABR	ABR
ABR-A	ABR-A
ABR-B	ABR-B
ABR-C	ABR-C
ABT	ABT
AC	AC
ACA	ACA
ACB	ACB
ACC	ACC
ACCO	ACCO
ACE.W	ACE.W
ACEL	ACEL
ACH	ACH
ACI	ACI
ACM	ACM
ACN	ACN
ACP	ACP
ACRE	ACRE
ACV	ACV
ADC	ADC
ADCT	ADCT
ADM	ADM
ADNT	ADNT
ADS	ADS
ADSW	ADSW
ADT	ADT
ADX	ADX
AEB	AEB
AEE	AEE
AEFC	AEFC
AEG	AEG
AEL	AEL
AEL-A	AEL-A
AEL-B	AEL-B
AEM	AEM
AEO	AEO
AEP	AEP
AEP-B	AEP-B
AER	AER
AES	AES
AFB	AFB
AFC	AFC
AFG	AFG
AFGB	AFGB
AFGC	AFGC
AFGD	AFGD
AFGH	AFGH
AFI	AFI
AFL	AFL
AFT	AFT
AG	AG
AGCO	AGCO
AGD	AGD
AGI	AGI
AGM	AGM
AGM-A	AGM-A
AGM-C	AGM-C
AGM-D	AGM-D
AGM-E	AGM-E
AGM.A	AGM.A
AGO	AGO
AGO-B	AGO-B
AGO-E	AGO-E
AGO-F	AGO-F
AGR	AGR
AGRO	AGRO
AGS	AGS
AGX	AGX
AHC	AHC
AHH	AHH
AHH-A	AHH-A
AHL-C	AHL-C
AHL-D	AHL-D
AHL-E	AHL-E
AHT	AHT
AHT-D	AHT-D
AHT-F	AHT-F
AHT-G	AHT-G
AHT-H	AHT-H
AHT-I	AHT-I
AI	AI
AI-B	AI-B
AI-C	AI-C
AIC	AIC
AIF	AIF
AIG	AIG
AIG-A	AIG-A
AIG.W	AIG.W
AIN	AIN
AIO	AIO
AIR	AIR
AIT	AIT
AIV	AIV
AIW	AIW
AIZ	AIZ
AIZP	AIZP
AJG	AJG
AJRD	AJRD
AJX	AJX
AJXA	AJXA
AKO.A	AKO.A
AKO.B	AKO.B
AKR	AKR
AL	AL
AL-A	AL-A
ALB	ALB
ALC	ALC
ALE	ALE
ALEX	ALEX
ALG	ALG
ALI-A	ALI-A
ALI-B	ALI-B
ALI-E	ALI-E
ALK	ALK
ALL	ALL
ALL-B	ALL-B
ALL-G	ALL-G
ALL-H	ALL-H
ALL-I	ALL-I
ALL-Y	ALL-Y
ALLE	ALLE
ALLY	ALLY
ALP-Q	ALP-Q
ALSN	ALSN
ALT.W	ALT.W
ALTG	ALTG
ALU.U	ALU.U
ALU.W	ALU.W
ALUS	ALUS
ALV	ALV
ALX	ALX
AM	AM
AMB.W	AMB.W
AMBC	AMBC
AMC	AMC
AMCR	AMCR
AME	AME
AMG	AMG
AMH	AMH
AMH-D	AMH-D
AMH-E	AMH-E
AMH-F	AMH-F
AMH-G	AMH-G
AMH-H	AMH-H
AMK	AMK
AMN	AMN
AMOV	AMOV
AMP	AMP
AMPY	AMPY
AMRC	AMRC
AMRX	AMRX
AMT	AMT
AMX	AMX
AN	AN
ANET	ANET
ANF	ANF
ANH	ANH
ANH-A	ANH-A
ANH-B	ANH-B
ANH-C	ANH-C
ANTM	ANTM
AOD	AOD
AON	AON
AOS	AOS
AP	AP
APA	APA
APAM	APAM
APD	APD
APG	APG
APH	APH
APHA	APHA
APLE	APLE
APO	APO
APO-A	APO-A
APO-B	APO-B
APRN	APRN
APT-A	APT-A
APTS	APTS
APTV	APTV
APY	APY
AQN	AQN
AQNA	AQNA
AQNB	AQNB
AQUA	AQUA
AR	AR
ARA	ARA
ARC	ARC
ARCH	ARCH
ARCO	ARCO
ARD	ARD
ARDC	ARDC
ARE	ARE
ARE-A	ARE-A
ARES	ARES
ARGD	ARGD
ARGO	ARGO
ARI	ARI
ARL	ARL
ARLO	ARLO
ARMK	ARMK
ARNC	ARNC
AROC	AROC
ARR	ARR
ARR-C	ARR-C
ARW	ARW
ASA	ASA
ASB	ASB
ASB-C	ASB-C
ASB-D	ASB-D
ASB-E	ASB-E
ASB-F	ASB-F
ASC	ASC
ASG	ASG
ASGN	ASGN
ASH	ASH
ASIX	ASIX
ASPN	ASPN
ASR	ASR
ASX	ASX
AT	AT
ATC-D	ATC-D
ATC-E	ATC-E
ATC-G	ATC-G
ATC-H	ATC-H
ATC-I	ATC-I
ATCO	ATCO
ATEN	ATEN
ATGE	ATGE
ATH	ATH
ATH-A	ATH-A
ATH-B	ATH-B
ATH-C	ATH-C
ATHM	ATHM
ATI	ATI
ATKR	ATKR
ATO	ATO
ATR	ATR
ATTO	ATTO
ATUS	ATUS
ATV	ATV
AU	AU
AUY	AUY
AVA	AVA
AVAL	AVAL
AVB	AVB
AVD	AVD
AVK	AVK
AVLR	AVLR
AVNS	AVNS
AVT-A	AVT-A
AVTR	AVTR
AVY	AVY
AVYA	AVYA
AWF	AWF
AWI	AWI
AWK	AWK
AWP	AWP
AWR	AWR
AX	AX
AXE	AXE
AXL	AXL
AXO	AXO
AXP	AXP
AXR	AXR
AXS	AXS
AXS-E	AXS-E
AXTA	AXTA
AYI	AYI
AYX	AYX
AZEK	AZEK
AZN	AZN
AZO	AZO
AZRE	AZRE
AZUL	AZUL
AZZ	AZZ
B	B
BA	BA
BABA	BABA
BAC	BAC
BAC-A	BAC-A
BAC-B	BAC-B
BAC-C	BAC-C
BAC-E	BAC-E
BAC-K	BAC-K
BAC-L	BAC-L
BAC-M	BAC-M
BAC-N	BAC-N
BAF	BAF
BAH	BAH
BAK	BAK
BAM	BAM
BAN-D	BAN-D
BAN-E	BAN-E
BANC	BANC
BAP	BAP
BAX	BAX
BB	BB
BBAR	BBAR
BBD	BBD
BBDC	BBDC
BBDO	BBDO
BBF	BBF
BBK	BBK
BBL	BBL
BBN	BBN
BBU	BBU
BBVA	BBVA
BBW	BBW
BBX	BBX
BBY	BBY
BC	BC
BC-A	BC-A
BC-B	BC-B
BC-C	BC-C
BCC	BCC
BCE	BCE
BCEI	BCEI
BCH	BCH
BCO	BCO
BCS	BCS
BCS.P	BCS.P
BCSF	BCSF
BCX	BCX
BDC	BDC
BDJ	BDJ
BDN	BDN
BDX	BDX
BDXB	BDXB
BE	BE
BEDU	BEDU
BEN	BEN
BEP	BEP
BEP-A	BEP-A
BERY	BERY
BEST	BEST
BF.A	BF.A
BF.B	BF.B
BFAM	BFAM
BFK	BFK
BFO	BFO
BFS	BFS
BFS-D	BFS-D
BFS-E	BFS-E
BFY	BFY
BFZ	BFZ
BG	BG
BGB	BGB
BGG	BGG
BGH	BGH
BGIO	BGIO
BGR	BGR
BGS	BGS
BGSF	BGSF
BGT	BGT
BGX	BGX
BGY	BGY
BH	BH
BH.A	BH.A
BHC	BHC
BHE	BHE
BHK	BHK
BHLB	BHLB
BHP	BHP
BHR	BHR
BHR-B	BHR-B
BHR-D	BHR-D
BHV	BHV
BHVN	BHVN
BIF	BIF
BIG	BIG
BILL	BILL
BIO	BIO
BIO.B	BIO.B
BIP	BIP
BIPC	BIPC
BIT	BIT
BITA	BITA
BJ	BJ
BK	BK
BK-C	BK-C
BKD	BKD
BKE	BKE
BKH	BKH
BKI	BKI
BKK	BKK
BKN	BKN
BKR	BKR
BKT	BKT
BKU	BKU
BLD	BLD
BLE	BLE
BLK	BLK
BLL	BLL
BLW	BLW
BLX	BLX
BMA	BMA
BME	BME
BMEZ	BMEZ
BMI	BMI
BML-G	BML-G
BML-H	BML-H
BML-J	BML-J
BML-L	BML-L
BMO	BMO
BMR.U	BMR.U
BMR.W	BMR.W
BMRG	BMRG
BMY	BMY
BMY.P	BMY.P
BNED	BNED
BNS	BNS
BNY	BNY
BOE	BOE
BOH	BOH
BOOT	BOOT
BORR	BORR
BOX	BOX
BP	BP
BPMP	BPMP
BPT	BPT
BQH	BQH
BR	BR
BRBR	BRBR
BRC	BRC
BRFS	BRFS
BRK.A	BRK.A
BRK.B	BRK.B
BRMK	BRMK
BRO	BRO
BRT	BRT
BRX	BRX
BSA	BSA
BSAC	BSAC
BSBR	BSBR
BSD	BSD
BSE	BSE
BSIG	BSIG
BSL	BSL
BSM	BSM
BSMX	BSMX
BST	BST
BSTZ	BSTZ
BSX	BSX
BSX-A	BSX-A
BTA	BTA
BTE	BTE
BTI	BTI
BTO	BTO
BTT	BTT
BTU	BTU
BTZ	BTZ
BUD	BUD
BUI	BUI
BURL	BURL
BV	BV
BVN	BVN
BW	BW
BWA	BWA
BWG	BWG
BWXT	BWXT
BX	BX
BXC	BXC
BXG	BXG
BXMT	BXMT
BXMX	BXMX
BXP	BXP
BXP-B	BXP-B
BXS	BXS
BXS-A	BXS-A
BY	BY
BYD	BYD
BYM	BYM
BZH	BZH
BZM	BZM
C	C
C-J	C-J
C-K	C-K
C-N	C-N
C-S	C-S
CAAP	CAAP
CABO	CABO
CACI	CACI
CADE	CADE
CAE	CAE
CAF	CAF
CAG	CAG
CAH	CAH
CAI	CAI
CAI-A	CAI-A
CAI-B	CAI-B
CAJ	CAJ
CAL	CAL
CALX	CALX
CANG	CANG
CAPL	CAPL
CARR	CARR
CARS	CARS
CAT	CAT
CATO	CATO
CB	CB
CBB	CBB
CBB-B	CBB-B
CBD	CBD
CBH	CBH
CBL	CBL
CBL-D	CBL-D
CBL-E	CBL-E
CBRE	CBRE
CBT	CBT
CBU	CBU
CBZ	CBZ
CC	CC
CCA.U	CCA.U
CCA.W	CCA.W
CCAC	CCAC
CCC	CCC
CCEP	CCEP
CCH	CCH
CCH.U	CCH.U
CCH.W	CCH.W
CCI	CCI
CCI-A	CCI-A
CCJ	CCJ
CCK	CCK
CCL	CCL
CCM	CCM
CCO	CCO
CCR	CCR
CCS	CCS
CCU	CCU
CCX	CCX
CCX.U	CCX.U
CCX.W	CCX.W
CCXX	CCXX
CCZ	CCZ
CDAY	CDAY
CDE	CDE
CDR	CDR
CDR-B	CDR-B
CDR-C	CDR-C
CE	CE
CEA	CEA
CEE	CEE
CEIX	CEIX
CEL	CEL
CEL.P	CEL.P
CELP	CELP
CEM	CEM
CEN	CEN
CEO	CEO
CEPU	CEPU
CEQ.P	CEQ.P
CEQP	CEQP
CF	CF
CFG	CFG
CFG-D	CFG-D
CFG-E	CFG-E
CFR	CFR
CFX	CFX
CFXA	CFXA
CGA	CGA
CGC	CGC
CHA	CHA
CHAP	CHAP
CHCT	CHCT
CHD	CHD
CHE	CHE
CHGG	CHGG
CHH	CHH
CHK	CHK
CHK-D	CHK-D
CHL	CHL
CHM-A	CHM-A
CHM-B	CHM-B
CHMI	CHMI
CHN	CHN
CHRA	CHRA
CHS	CHS
CHT	CHT
CHU	CHU
CHWY	CHWY
CHX	CHX
CHX.P	CHX.P
CI	CI
CIA	CIA
CIB	CIB
CIEN	CIEN
CIF	CIF
CIG	CIG
CIG.C	CIG.C
CII	CII
CIM	CIM
CIM-A	CIM-A
CIM-B	CIM-B
CIM-C	CIM-C
CIM-D	CIM-D
CINR	CINR
CIO	CIO
CIO-A	CIO-A
CIR	CIR
CIT	CIT
CIT-B	CIT-B
CKH	CKH
CL	CL
CLB	CLB
CLDR	CLDR
CLDT	CLDT
CLF	CLF
CLGX	CLGX
CLH	CLH
CLI	CLI
CLN-G	CLN-G
CLN-H	CLN-H
CLN-I	CLN-I
CLN-J	CLN-J
CLNC	CLNC
CLNY	CLNY
CLPR	CLPR
CLR	CLR
CLS	CLS
CLW	CLW
CLX	CLX
CM	CM
CMA	CMA
CMC	CMC
CMCM	CMCM
CMD	CMD
CMG	CMG
CMI	CMI
CMO	CMO
CMO-E	CMO-E
CMP	CMP
CMR-B	CMR-B
CMR-C	CMR-C
CMR-D	CMR-D
CMR-E	CMR-E
CMRE	CMRE
CMS	CMS
CMS-B	CMS-B
CMSA	CMSA
CMSC	CMSC
CMSD	CMSD
CMU	CMU
CNA	CNA
CNC	CNC
CNF	CNF
CNHI	CNHI
CNI	CNI
CNK	CNK
CNMD	CNMD
CNNE	CNNE
CNO	CNO
CNP	CNP
CNP-B	CNP-B
CNQ	CNQ
CNR	CNR
CNS	CNS
CNX	CNX
CNXM	CNXM
CO	CO
COD-A	COD-A
COD-B	COD-B
COD-C	COD-C
CODI	CODI
COE	COE
COF	COF
COF-F	COF-F
COF-G	COF-G
COF-H	COF-H
COF-I	COF-I
COF-J	COF-J
COG	COG
COLD	COLD
COO	COO
COP	COP
COR	COR
COR-Z	COR-Z
CORR	CORR
COTY	COTY
CP	CP
CPA	CPA
CPAC	CPAC
CPB	CPB
CPE	CPE
CPF	CPF
CPG	CPG
CPK	CPK
CPLG	CPLG
CPRI	CPRI
CPS	CPS
CPT	CPT
CR	CR
CRC	CRC
CRD.A	CRD.A
CRD.B	CRD.B
CRH	CRH
CRI	CRI
CRK	CRK
CRL	CRL
CRM	CRM
CRS	CRS
CRT	CRT
CRY	CRY
CS	CS
CSL	CSL
CSLT	CSLT
CSPR	CSPR
CSTM	CSTM
CSU	CSU
CSV	CSV
CTA-A	CTA-A
CTA-B	CTA-B
CTAA	CTAA
CTB	CTB
CTBB	CTBB
CTDD	CTDD
CTK	CTK
CTL	CTL
CTLT	CTLT
CTR	CTR
CTRA	CTRA
CTS	CTS
CTT	CTT
CTV	CTV
CTVA	CTVA
CTY	CTY
CTZ	CTZ
CUB	CUB
CUB-C	CUB-C
CUB-D	CUB-D
CUB-E	CUB-E
CUB-F	CUB-F
CUBB	CUBB
CUBE	CUBE
CUBI	CUBI
CUK	CUK
CULP	CULP
CURO	CURO
CUZ	CUZ
CVA	CVA
CVE	CVE
CVEO	CVEO
CVI	CVI
CVIA	CVIA
CVNA	CVNA
CVS	CVS
CVX	CVX
CW	CW
CWE.A	CWE.A
CWEN	CWEN
CWH	CWH
CWK	CWK
CWT	CWT
CX	CX
CXE	CXE
CXH	CXH
CXO	CXO
CXP	CXP
CXW	CXW
CYD	CYD
CYH	CYH
CZZ	CZZ
D	D
DAC	DAC
DAL	DAL
DAN	DAN
DAO	DAO
DAR	DAR
DAVA	DAVA
DB	DB
DBD	DBD
DBI	DBI
DBL	DBL
DCF	DCF
DCI	DCI
DCO	DCO
DCP	DCP
DCP-B	DCP-B
DCP-C	DCP-C
DCUE	DCUE
DD	DD
DDD	DDD
DDF	DDF
DDS	DDS
DDT	DDT
DE	DE
DEA	DEA
DECK	DECK
DEI	DEI
DELL	DELL
DEO	DEO
DESP	DESP
DEX	DEX
DFIN	DFIN
DFN.U	DFN.U
DFN.W	DFN.W
DFNS	DFNS
DFP	DFP
DFS	DFS
DG	DG
DGX	DGX
DHF	DHF
DHI	DHI
DHR	DHR
DHR-A	DHR-A
DHR-B	DHR-B
DHT	DHT
DHX	DHX
DIAX	DIAX
DIN	DIN
DIS	DIS
DK	DK
DKL	DKL
DKS	DKS
DL	DL
DLB	DLB
DLN-A	DLN-A
DLN-B	DLN-B
DLNG	DLNG
DLPH	DLPH
DLR	DLR
DLR-C	DLR-C
DLR-G	DLR-G
DLR-I	DLR-I
DLR-J	DLR-J
DLR-K	DLR-K
DLR-L	DLR-L
DLX	DLX
DLY	DLY
DMB	DMB
DMO	DMO
DMY.U	DMY.U
DMY.W	DMY.W
DMYT	DMYT
DNI	DNI
DNK	DNK
DNOW	DNOW
DNP	DNP
DNR	DNR
DOC	DOC
DOOR	DOOR
DOV	DOV
DOW	DOW
DPG	DPG
DPZ	DPZ
DQ	DQ
DRD	DRD
DRE	DRE
DRH	DRH
DRI	DRI
DRQ	DRQ
DRUA	DRUA
DS	DS
DS-B	DS-B
DS-C	DS-C
DS-D	DS-D
DSE	DSE
DSL	DSL
DSM	DSM
DSSI	DSSI
DSU	DSU
DSX	DSX
DSX-B	DSX-B
DT	DT
DTE	DTE
DTF	DTF
DTJ	DTJ
DTL.P	DTL.P
DTP	DTP
DTQ	DTQ
DTW	DTW
DTY	DTY
DUC	DUC
DUK	DUK
DUK-A	DUK-A
DUKB	DUKB
DUKH	DUKH
DVA	DVA
DVD	DVD
DVN	DVN
DX	DX
DX-B	DX-B
DX-C	DX-C
DXC	DXC
DY	DY
E	E
EAB	EAB
EAE	EAE
EAF	EAF
EAI	EAI
EARN	EARN
EAT	EAT
EB	EB
EBF	EBF
EBR	EBR
EBR.B	EBR.B
EBS	EBS
EC	EC
ECC	ECC
ECCB	ECCB
ECCX	ECCX
ECCY	ECCY
ECL	ECL
ECOM	ECOM
ECT	ECT
ED	ED
EDD	EDD
EDF	EDF
EDI	EDI
EDN	EDN
EDU	EDU
EE	EE
EEA	EEA
EEX	EEX
EFC	EFC
EFC-A	EFC-A
EFF	EFF
EFL	EFL
EFR	EFR
EFT	EFT
EFX	EFX
EGF	EGF
EGHT	EGHT
EGIF	EGIF
EGO	EGO
EGP	EGP
EGY	EGY
EHC	EHC
EHI	EHI
EHT	EHT
EIC	EIC
EIG	EIG
EIX	EIX
EL	EL
ELAN	ELAN
ELAT	ELAT
ELC	ELC
ELF	ELF
ELJ	ELJ
ELP	ELP
ELS	ELS
ELU	ELU
ELVT	ELVT
ELY	ELY
EMD	EMD
EME	EME
EMF	EMF
EMN	EMN
EMO	EMO
EMP	EMP
EMR	EMR
ENB	ENB
ENBA	ENBA
ENBL	ENBL
ENIA	ENIA
ENIC	ENIC
ENJ	ENJ
ENLC	ENLC
ENO	ENO
ENR	ENR
ENR-A	ENR-A
ENS	ENS
ENV	ENV
ENVA	ENVA
ENZ	ENZ
EOD	EOD
EOG	EOG
EOI	EOI
EOS	EOS
EOT	EOT
EP-C	EP-C
EPAC	EPAC
EPAM	EPAM
EPC	EPC
EPD	EPD
EPR	EPR
EPR-C	EPR-C
EPR-E	EPR-E
EPR-G	EPR-G
EPRT	EPRT
EQC	EQC
EQC-D	EQC-D
EQH	EQH
EQH-A	EQH-A
EQM	EQM
EQNR	EQNR
EQR	EQR
EQS	EQS
EQT	EQT
ERA	ERA
ERF	ERF
ERJ	ERJ
EROS	EROS
ES	ES
ESE	ESE
ESI	ESI
ESNT	ESNT
ESRT	ESRT
ESS	ESS
ESTC	ESTC
ESTE	ESTE
ET	ET
ETB	ETB
ETG	ETG
ETH	ETH
ETI.P	ETI.P
ETJ	ETJ
ETM	ETM
ETN	ETN
ETO	ETO
ETP-C	ETP-C
ETP-D	ETP-D
ETP-E	ETP-E
ETR	ETR
ETRN	ETRN
ETV	ETV
ETW	ETW
ETX	ETX
ETY	ETY
EURN	EURN
EV	EV
EVA	EVA
EVC	EVC
EVF	EVF
EVG	EVG
EVH	EVH
EVN	EVN
EVR	EVR
EVRG	EVRG
EVRI	EVRI
EVT	EVT
EVTC	EVTC
EW	EW
EXD	EXD
EXG	EXG
EXK	EXK
EXP	EXP
EXPR	EXPR
EXR	EXR
EXTN	EXTN
EZT	EZT
F	F
F-B	F-B
F-C	F-C
FAF	FAF
FAM	FAM
FBC	FBC
FBHS	FBHS
FBK	FBK
FBM	FBM
FBP	FBP
FC	FC
FCAU	FCAU
FCF	FCF
FCN	FCN
FCPT	FCPT
FCT	FCT
FCX	FCX
FDEU	FDEU
FDP	FDP
FDS	FDS
FDX	FDX
FE	FE
FEA.U	FEA.U
